year,team_name,team_code,performance,ccs,ccs_source_years,prior_windows,source,evaluable
1986,Uruguay,URY,round of 16,0,,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1986,Germany,DEU,final,1,1982,1978;1982,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Argentina,ARG,final,1,1986,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Austria,AUT,group stage,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Belgium,BEL,round of 16,1,1986,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Brazil,BRA,round of 16,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Cameroon,CMR,quarter-finals,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Colombia,COL,round of 16,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Costa Rica,CRI,round of 16,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Czechoslovakia,CSK,quarter-finals,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Egypt,EGY,group stage,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,England,ENG,third-place match,1,1986,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Italy,ITA,third-place match,1,1982,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Netherlands,NLD,round of 16,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Republic of Ireland,IRL,quarter-finals,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Romania,ROU,round of 16,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Scotland,SCO,group stage,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,South Korea,KOR,group stage,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Soviet Union,SUN,group stage,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Spain,ESP,round of 16,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Sweden,SWE,group stage,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,United Arab Emirates,ARE,group stage,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,USA,USA,group stage,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Uruguay,URY,round of 16,1,1986,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Germany,DEU,final,1,1982;1986,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1990,Yugoslavia,YUG,quarter-finals,0,,1982;1986,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Argentina,ARG,round of 16,1,1986;1990,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Belgium,BEL,round of 16,1,1986,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Bolivia,BOL,group stage,0,,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
