year,team_name,team_code,performance,source,ccs,ccs_source_years,prior_windows
2018,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Senegal,SEN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Serbia,SRB,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,South Korea,KOR,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Spain,ESP,round of 16,Fjelstul qualified_teams.csv,1,2010,2010;2014
2018,Sweden,SWE,quarter-finals,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Switzerland,CHE,round of 16,Fjelstul qualified_teams.csv,1,2014,2010;2014
2018,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Uruguay,URY,quarter-finals,Fjelstul qualified_teams.csv,1,2010,2010;2014
2022,Argentina,ARG,final,Fjelstul qualified_teams.csv,1,2014;2018,2014;2018
2022,Australia,AUS,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Belgium,BEL,group stage,Fjelstul qualified_teams.csv,1,2014;2018,2014;2018
2022,Brazil,BRA,quarter-finals,Fjelstul qualified_teams.csv,1,2014,2014;2018
2022,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Canada,CAN,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Costa Rica,CRI,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Croatia,HRV,third-place match,Fjelstul qualified_teams.csv,1,2018,2014;2018
2022,Denmark,DNK,group stage,Fjelstul qualified_teams.csv,1,2018,2014;2018
2022,Ecuador,ECU,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,England,ENG,quarter-finals,Fjelstul qualified_teams.csv,1,2018,2014;2018
2022,France,FRA,final,Fjelstul qualified_teams.csv,1,2014;2018,2014;2018
2022,Germany,DEU,group stage,Fjelstul qualified_teams.csv,1,2014,2014;2018
2022,Ghana,GHA,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Japan,JPN,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Mexico,MEX,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Morocco,MAR,third-place match,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Netherlands,NLD,quarter-finals,Fjelstul qualified_teams.csv,1,2014,2014;2018
2022,Poland,POL,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Portugal,PRT,quarter-finals,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Qatar,QAT,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Senegal,SEN,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Serbia,SRB,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,South Korea,KOR,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Spain,ESP,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Switzerland,CHE,round of 16,Fjelstul qualified_teams.csv,1,2014,2014;2018
2022,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,USA,USA,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Uruguay,URY,group stage,Fjelstul qualified_teams.csv,1,2018,2014;2018
2022,Wales,WAL,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2026,USA,USA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Canada,CAN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Mexico,MEX,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
