year,team_name,team_code,performance,source,ccs,ccs_source_years,prior_windows,team_code_rank,fifa_rank,fifa_points,ranking_official_date,rank_bucket
2014,Belgium,BEL,quarter-finals,Fjelstul qualified_teams.csv,0,,2006;2010,BEL,11.0,1074.0,2014-06-05,11-15
2014,Bosnia and Herzegovina,BIH,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,BIH,21.0,873.0,2014-06-05,16-25
2014,Brazil,BRA,third-place match,Fjelstul qualified_teams.csv,1,2006;2010,2006;2010,BRA,3.0,1242.0,2014-06-05,Top 5
2014,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,CMR,56.0,558.0,2014-06-05,26+
2014,Chile,CHL,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010,CHI,14.0,1026.0,2014-06-05,11-15
2014,Colombia,COL,quarter-finals,Fjelstul qualified_teams.csv,0,,2006;2010,COL,8.0,1137.0,2014-06-05,6-10
2014,Costa Rica,CRI,quarter-finals,Fjelstul qualified_teams.csv,0,,2006;2010,CRC,28.0,762.0,2014-06-05,26+
2014,Croatia,HRV,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,CRO,18.0,903.0,2014-06-05,16-25
2014,Ecuador,ECU,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,ECU,26.0,791.0,2014-06-05,26+
2014,England,ENG,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,ENG,10.0,1090.0,2014-06-05,6-10
2014,France,FRA,quarter-finals,Fjelstul qualified_teams.csv,1,2006,2006;2010,FRA,17.0,913.0,2014-06-05,16-25
2014,Germany,DEU,final,Fjelstul qualified_teams.csv,1,2006;2010,2006;2010,GER,2.0,1300.0,2014-06-05,Top 5
2014,Ghana,GHA,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,GHA,37.0,704.0,2014-06-05,26+
2014,Greece,GRC,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010,GRE,12.0,1064.0,2014-06-05,11-15
2014,Honduras,HND,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,HON,33.0,731.0,2014-06-05,26+
2014,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,IRN,43.0,641.0,2014-06-05,26+
2014,Italy,ITA,group stage,Fjelstul qualified_teams.csv,1,2006,2006;2010,ITA,9.0,1104.0,2014-06-05,6-10
2014,Ivory Coast,CIV,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,CIV,23.0,809.0,2014-06-05,16-25
2014,Japan,JPN,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,JPN,46.0,626.0,2014-06-05,26+
2014,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010,MEX,20.0,882.0,2014-06-05,16-25
2014,Netherlands,NLD,third-place match,Fjelstul qualified_teams.csv,1,2010,2006;2010,NED,15.0,981.0,2014-06-05,11-15
2014,Nigeria,NGA,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010,NGA,44.0,640.0,2014-06-05,26+
2014,Portugal,PRT,group stage,Fjelstul qualified_teams.csv,1,2006;2010,2006;2010,POR,4.0,1189.0,2014-06-05,Top 5
2014,Russia,RUS,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,RUS,19.0,893.0,2014-06-05,16-25
2014,South Korea,KOR,group stage,Fjelstul qualified_teams.csv,0,,2006;2010,KOR,57.0,547.0,2014-06-05,26+
2014,Spain,ESP,group stage,Fjelstul qualified_teams.csv,1,2006;2010,2006;2010,ESP,1.0,1485.0,2014-06-05,Top 5
2014,Switzerland,CHE,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010,SUI,6.0,1149.0,2014-06-05,6-10
2014,USA,USA,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010,USA,13.0,1035.0,2014-06-05,11-15
2014,Uruguay,URY,round of 16,Fjelstul qualified_teams.csv,1,2010,2006;2010,URU,7.0,1147.0,2014-06-05,6-10
2018,Argentina,ARG,round of 16,Fjelstul qualified_teams.csv,1,2014,2010;2014,ARG,5.0,1241.0,2018-06-07,Top 5
2018,Australia,AUS,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,AUS,36.0,718.0,2018-06-07,26+
2018,Belgium,BEL,third-place match,Fjelstul qualified_teams.csv,1,2014,2010;2014,BEL,3.0,1298.0,2018-06-07,Top 5
2018,Brazil,BRA,quarter-finals,Fjelstul qualified_teams.csv,1,2010;2014,2010;2014,BRA,2.0,1431.0,2018-06-07,Top 5
2018,Colombia,COL,round of 16,Fjelstul qualified_teams.csv,0,,2010;2014,COL,16.0,986.0,2018-06-07,16-25
2018,Costa Rica,CRI,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,CRC,23.0,884.0,2018-06-07,16-25
2018,Croatia,HRV,final,Fjelstul qualified_teams.csv,0,,2010;2014,CRO,20.0,945.0,2018-06-07,16-25
2018,Denmark,DNK,round of 16,Fjelstul qualified_teams.csv,0,,2010;2014,DEN,12.0,1051.0,2018-06-07,11-15
2018,Egypt,EGY,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,EGY,45.0,649.0,2018-06-07,26+
2018,England,ENG,third-place match,Fjelstul qualified_teams.csv,0,,2010;2014,ENG,12.0,1051.0,2018-06-07,11-15
2018,France,FRA,final,Fjelstul qualified_teams.csv,1,2014,2010;2014,FRA,7.0,1198.0,2018-06-07,6-10
2018,Germany,DEU,group stage,Fjelstul qualified_teams.csv,1,2010;2014,2010;2014,GER,1.0,1558.0,2018-06-07,Top 5
2018,Iceland,ISL,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,ISL,22.0,908.0,2018-06-07,16-25
2018,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,IRN,37.0,708.0,2018-06-07,26+
2018,Japan,JPN,round of 16,Fjelstul qualified_teams.csv,0,,2010;2014,JPN,61.0,521.0,2018-06-07,26+
2018,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,2010;2014,MEX,15.0,989.0,2018-06-07,11-15
2018,Morocco,MAR,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,MAR,41.0,686.0,2018-06-07,26+
2018,Nigeria,NGA,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,NGA,48.0,618.0,2018-06-07,26+
2018,Panama,PAN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,PAN,55.0,571.0,2018-06-07,26+
2018,Peru,PER,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,PER,11.0,1125.0,2018-06-07,11-15
2018,Poland,POL,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,POL,8.0,1183.0,2018-06-07,6-10
2018,Portugal,PRT,round of 16,Fjelstul qualified_teams.csv,1,2010,2010;2014,POR,4.0,1274.0,2018-06-07,Top 5
2018,Russia,RUS,quarter-finals,Fjelstul qualified_teams.csv,0,,2010;2014,RUS,70.0,457.0,2018-06-07,26+
2018,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,KSA,67.0,465.0,2018-06-07,26+
2018,Senegal,SEN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,SEN,27.0,838.0,2018-06-07,26+
2018,Serbia,SRB,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,SRB,34.0,751.0,2018-06-07,26+
2018,South Korea,KOR,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,KOR,57.0,544.0,2018-06-07,26+
2018,Spain,ESP,round of 16,Fjelstul qualified_teams.csv,1,2010,2010;2014,ESP,10.0,1126.0,2018-06-07,6-10
2018,Sweden,SWE,quarter-finals,Fjelstul qualified_teams.csv,0,,2010;2014,SWE,24.0,880.0,2018-06-07,16-25
2018,Switzerland,CHE,round of 16,Fjelstul qualified_teams.csv,1,2014,2010;2014,SUI,6.0,1199.0,2018-06-07,6-10
2018,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014,TUN,21.0,910.0,2018-06-07,16-25
2018,Uruguay,URY,quarter-finals,Fjelstul qualified_teams.csv,1,2010,2010;2014,URU,14.0,1018.0,2018-06-07,11-15
